"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"credor";"caracteristica_peculiar";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade";"empenhado";"liquidado";"pago"
"42";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003631";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"43";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003700";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"44";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004091";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"45";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004092";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"46";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004109";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"47";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004185";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"48";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004639";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"49";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004640";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"50";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004659";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"51";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000004714";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
